t,True prob,x,CMC 2048,CMC 4096,CMC 10000,Strat 2048,Strat 4096,Strat 10000
0.0,0.625,0.625,0.623,0.62,0.621,0.623,0.623,0.623
0.1,0.606,0.606,0.602,0.603,0.604,0.604,0.604,0.604
0.2,0.589,0.588,0.586,0.585,0.585,0.587,0.587,0.587
0.3,0.573,0.572,0.571,0.57,0.57,0.571,0.571,0.57
0.4,0.559,0.559,0.554,0.555,0.555,0.556,0.556,0.556
0.5,0.548,0.547,0.539,0.539,0.538,0.539,0.539,0.54
0.6,0.518,0.517,0.512,0.513,0.513,0.514,0.513,0.513
0.7,0.489,0.489,0.485,0.486,0.485,0.486,0.486,0.486
0.8,0.462,0.462,0.458,0.458,0.459,0.459,0.459,0.459
0.9,0.437,0.437,0.433,0.432,0.432,0.433,0.433,0.433
1.0,0.413,0.412,0.404,0.406,0.405,0.405,0.405,0.405
1.1,0.37,0.37,0.368,0.368,0.367,0.368,0.368,0.368
1.2,0.331,0.33,0.33,0.329,0.329,0.329,0.329,0.329
1.3,0.294,0.293,0.292,0.292,0.292,0.292,0.292,0.292
1.4,0.259,0.259,0.258,0.258,0.258,0.258,0.258,0.258
1.5,0.227,0.227,0.227,0.226,0.227,0.226,0.226,0.226
1.6,0.198,0.197,0.197,0.198,0.196,0.197,0.197,0.197
1.7,0.17,0.169,0.171,0.17,0.17,0.17,0.17,0.17
1.8,0.145,0.144,0.144,0.145,0.145,0.145,0.145,0.145
1.9,0.121,0.121,0.122,0.122,0.122,0.122,0.121,0.122
2.0,0.1,0.1,0.101,0.101,0.102,0.101,0.101,0.101
2.1,0.081,0.081,0.082,0.082,0.083,0.082,0.083,0.082
2.2,0.064,0.064,0.066,0.066,0.066,0.066,0.066,0.066
2.3,0.049,0.049,0.052,0.051,0.051,0.051,0.051,0.051
2.4,0.036,0.036,0.038,0.038,0.038,0.038,0.038,0.038
2.5,0.025,0.025,0.027,0.027,0.027,0.027,0.027,0.027
2.6,0.016,0.016,0.018,0.018,0.018,0.018,0.018,0.018
2.7,0.009,0.009,0.011,0.011,0.011,0.011,0.011,0.011
2.8,0.004,0.004,0.007,0.007,0.007,0.007,0.007,0.007
2.9,0.001,0.001,0.004,0.004,0.004,0.004,0.004,0.004
3.0,0.0,0.0,0.003,0.003,0.003,0.003,0.003,0.003
